1/20/15 10:07,8,Clay
1/20/15 10:07,8,Marya
1/20/15 10:07,8,Gretta
1/20/15 10:07,8,Cindie
1/20/15 10:07,8,Ofelia
1/20/15 10:07,8,Wilson
1/20/15 10:07,8,Robyn
1/20/15 10:07,8,Robyn
1/20/15 10:07,8,Wilson
1/20/15 10:07,8,Wilson
1/20/15 10:17,2,Gretta
1/20/15 10:17,5,Robyn
1/20/15 10:19,8,Keila
1/20/15 10:23,6,Robyn
1/20/15 10:23,3,Gretta
1/20/15 10:30,8,Clay
1/20/15 10:32,2,Lavonda
1/20/15 10:32,5,Robyn
1/20/15 10:33,6,Robyn
1/20/15 10:33,3,Clay
1/20/15 10:34,2,Clay
1/20/15 10:34,5,Robyn
1/20/15 10:36,8,Cindie
1/20/15 11:27,8,Clay
1/20/15 11:30,1,Robyn
1/20/15 11:31,2,Elvia
1/20/15 11:31,5,Robyn
1/20/15 11:31,2,Jutta
1/20/15 11:31,5,Robyn
1/20/15 11:31,2,Assunta
1/20/15 11:31,5,Robyn
1/20/15 11:31,2,Shon
1/20/15 11:31,5,Robyn
1/20/15 11:31,6,Robyn
1/20/15 11:31,3,Spring
1/20/15 11:32,6,Robyn
1/20/15 11:32,3,Clay
1/20/15 13:51,8,Tia
1/20/15 15:38,8,Cindie
1/20/15 16:00,8,Elvina
1/20/15 16:01,8,Elvina
1/20/15 19:23,8,Jutta
1/20/15 20:20,2,Bryanna
1/20/15 20:20,5,Robyn
1/20/15 20:47,8,Sasha
1/20/15 20:50,8,Bryanna
1/20/15 20:57,8,Sasha
1/20/15 20:59,8,Sasha
1/20/15 21:07,8,Gretta
1/20/15 21:40,8,Marya
1/20/15 21:46,8,Marya
1/20/15 22:11,2,Spring
1/20/15 22:11,5,Robyn
1/20/15 22:12,1,Spring
1/21/15 10:49,8,Wilson
1/21/15 11:01,2,Shu
1/21/15 11:01,5,Robyn
1/21/15 11:02,2,Shu
1/21/15 11:02,5,Spring
1/21/15 11:45,8,Jutta
1/21/15 11:49,8,Jutta
1/21/15 14:22,8,Roman
1/21/15 14:38,6,Robyn
1/21/15 14:38,3,Ofelia
1/21/15 14:42,8,Ofelia
1/21/15 14:49,8,Morgan
1/21/15 15:03,8,Ofelia
1/21/15 17:25,2,Gretta
1/21/15 17:25,5,Spring
1/21/15 17:54,8,Bryanna
1/21/15 18:57,8,Elvia
1/21/15 19:11,8,Elvia
1/21/15 19:18,8,Abigail
1/21/15 19:18,8,Cindie
1/21/15 19:19,2,Abigail
1/21/15 19:19,5,Spring
1/21/15 19:30,8,Gretta
1/21/15 19:45,6,Robyn
1/21/15 19:45,3,Ettie
1/21/15 20:15,8,Ettie
1/21/15 20:27,6,Robyn
1/21/15 20:27,3,Gretta
1/21/15 20:28,2,Gretta
1/21/15 20:28,5,Robyn
1/21/15 20:40,8,Morgan
1/21/15 20:54,8,Ettie
1/21/15 20:59,2,Lena
1/21/15 20:59,5,Spring
1/21/15 21:01,2,Lena
1/21/15 21:01,5,Robyn
1/21/15 21:11,8,Lena
1/21/15 21:12,8,Morgan
1/21/15 21:15,1,Lena
1/21/15 21:46,8,Lena
1/21/15 22:04,8,Assunta
1/21/15 22:09,2,Assunta
1/21/15 22:09,5,Spring
1/21/15 22:35,8,Assunta
1/21/15 22:54,8,Roman
1/21/15 23:14,2,Gretta
1/21/15 23:14,5,Lena
1/21/15 23:18,8,Shon
1/21/15 23:18,6,Lena
1/21/15 23:18,3,Gretta
1/21/15 23:44,2,Spring
1/21/15 23:44,5,Lena
1/21/15 23:45,6,Lena
1/21/15 23:45,3,Spring
1/21/15 23:47,8,Shon
1/22/15 2:47,2,Marya
1/22/15 2:47,5,Robyn
1/22/15 2:47,2,Marya
1/22/15 2:47,5,Spring
1/22/15 2:47,2,Marya
1/22/15 2:47,5,Lena
1/22/15 8:25,8,Keila
1/22/15 8:30,2,Keila
1/22/15 8:30,5,Lena
1/22/15 8:31,2,Keila
1/22/15 8:31,5,Robyn
1/22/15 9:33,8,Lavonda
